Attempt,Bitstring,Circuit Depth,Gate Count,Success
1,0100111101110010010111110111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
2,0111001010100101000011011101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
3,0100101000011000010111000000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
4,1100100100101011110010001001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
5,1110111011011001100010111111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
6,0000110000000110001101001101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
7,0101010101011100001010000101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
8,0100110010001010101010011001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
9,1101101001101110111010001101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
10,0001010011001000000100010100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
11,1111110101111111000101111100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
12,0010011011010111010111001101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
13,0011111011101100110001101011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
14,1010000101000111100011011000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
15,0010010100100001001110111110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
16,1011101111000010100110010011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
17,0110110010100100001111111001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
18,1000010111110001001100100110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
19,0111100111111010111111111100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
20,1000010001010000010000101010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
21,1000110000111011001001100111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
22,0000001111100100011101011111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
23,1000011110000111001011111101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
24,1011000000101000000110101100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
25,0111111110101101110011111010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
26,0101011001011010110001011001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
27,1000110000000100101000001011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
