Attempt,Bitstring,Circuit Depth,Gate Count,Success,Time (s),Noise Label
1,000001000100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.02,DEP_AMP
2,000010001101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.09,DEP_AMP
3,011001001100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.11,DEP_AMP
4,000001101011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.14,DEP_AMP
5,110111111011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.16,DEP_AMP
6,000111110001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.18,DEP_AMP
7,010001001001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.20,DEP_AMP
8,101101100010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.22,DEP_AMP
9,010101001010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.25,DEP_AMP
10,100011110111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.27,DEP_AMP
11,101110010011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.29,DEP_AMP
12,010011001100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.31,DEP_AMP
13,101110100110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.34,DEP_AMP
14,010111110000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.36,DEP_AMP
15,100111010001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.38,DEP_AMP
16,010101010010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.40,DEP_AMP
17,100101010011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.43,DEP_AMP
18,011001000011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.45,DEP_AMP
19,110110101011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.47,DEP_AMP
20,001111000100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.50,DEP_AMP
21,000110100110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.52,DEP_AMP
22,111101010101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.55,DEP_AMP
23,000000111000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.57,DEP_AMP
24,101111000010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.60,DEP_AMP
25,000110100111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.62,DEP_AMP
26,100000010010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.64,DEP_AMP
27,111011110111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.67,DEP_AMP
