Attempt,Bitstring,Circuit Depth,Gate Count,Success,Time (s),Noise Label,Backend
1,010111101001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.03,DEP_AMP_GPU,GPU
2,011011100100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.05,DEP_AMP_GPU,GPU
3,110000011001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.07,DEP_AMP_GPU,GPU
4,100111100100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.09,DEP_AMP_GPU,GPU
5,110011100001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.16,DEP_AMP_GPU,GPU
6,110000011011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.19,DEP_AMP_GPU,GPU
7,101111011010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.21,DEP_AMP_GPU,GPU
8,110000100001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.23,DEP_AMP_GPU,GPU
9,111001100000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.26,DEP_AMP_GPU,GPU
10,001001001011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.28,DEP_AMP_GPU,GPU
11,110111111000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.30,DEP_AMP_GPU,GPU
12,011101001011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.33,DEP_AMP_GPU,GPU
13,110100000100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.35,DEP_AMP_GPU,GPU
14,101111011111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.37,DEP_AMP_GPU,GPU
15,001110111101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.40,DEP_AMP_GPU,GPU
16,100010100110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.42,DEP_AMP_GPU,GPU
17,110111010100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.45,DEP_AMP_GPU,GPU
18,010000010101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.47,DEP_AMP_GPU,GPU
19,111101010001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.50,DEP_AMP_GPU,GPU
20,010101100111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.53,DEP_AMP_GPU,GPU
21,101011011110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.55,DEP_AMP_GPU,GPU
22,101100110010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.58,DEP_AMP_GPU,GPU
23,110111011001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.60,DEP_AMP_GPU,GPU
24,100010100110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.63,DEP_AMP_GPU,GPU
25,001111010100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.65,DEP_AMP_GPU,GPU
26,111110000111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.68,DEP_AMP_GPU,GPU
27,010011010101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.77,DEP_AMP_GPU,GPU
28,000010100010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.80,DEP_AMP_GPU,GPU
29,100101111010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.82,DEP_AMP_GPU,GPU
30,001100010101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.85,DEP_AMP_GPU,GPU
31,111110111110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.87,DEP_AMP_GPU,GPU
32,000101001111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.89,DEP_AMP_GPU,GPU
33,000111110000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.92,DEP_AMP_GPU,GPU
34,011111001100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.94,DEP_AMP_GPU,GPU
35,101011111110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.97,DEP_AMP_GPU,GPU
