Attempt,Bitstring,Circuit Depth,Gate Count,Success,Time (s),Noise Label
1,001100101001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.03,DEP_AMP_PHASE
2,110011111101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.05,DEP_AMP_PHASE
3,001100110000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.08,DEP_AMP_PHASE
4,111110100100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.10,DEP_AMP_PHASE
5,101011100010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.13,DEP_AMP_PHASE
6,010101001000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.15,DEP_AMP_PHASE
7,001001000100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.18,DEP_AMP_PHASE
8,000011110110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.20,DEP_AMP_PHASE
9,000101010110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.23,DEP_AMP_PHASE
10,101011010010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.25,DEP_AMP_PHASE
11,100011010111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.27,DEP_AMP_PHASE
12,011110110001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.30,DEP_AMP_PHASE
13,010000000000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.32,DEP_AMP_PHASE
14,011110101111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.34,DEP_AMP_PHASE
15,111101001001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.36,DEP_AMP_PHASE
16,100100010101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.39,DEP_AMP_PHASE
17,000111001110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.41,DEP_AMP_PHASE
