Attempt,Bitstring,Circuit Depth,Gate Count,Success,Time (s),Noise Label,Backend
1,001011110010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.03,DEP_AMP_PHASE_CPU,CPU
2,011010101000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.05,DEP_AMP_PHASE_CPU,CPU
3,000110100110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.07,DEP_AMP_PHASE_CPU,CPU
4,010000111001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.10,DEP_AMP_PHASE_CPU,CPU
5,000101001010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.12,DEP_AMP_PHASE_CPU,CPU
6,011001000011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.14,DEP_AMP_PHASE_CPU,CPU
7,011011010101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.17,DEP_AMP_PHASE_CPU,CPU
8,101010101001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.19,DEP_AMP_PHASE_CPU,CPU
9,111010011100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.21,DEP_AMP_PHASE_CPU,CPU
10,101000010111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.24,DEP_AMP_PHASE_CPU,CPU
11,110011001101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.26,DEP_AMP_PHASE_CPU,CPU
12,110000111101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.28,DEP_AMP_PHASE_CPU,CPU
13,100011110011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.31,DEP_AMP_PHASE_CPU,CPU
14,000110010110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.33,DEP_AMP_PHASE_CPU,CPU
