Attempt,Bitstring,Circuit Depth,Gate Count,Success,Time (s),Noise Label,Backend
1,010001011111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.03,DEP_AMP_PHASE_GPU,GPU
2,100011110100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.05,DEP_AMP_PHASE_GPU,GPU
3,010101001010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.07,DEP_AMP_PHASE_GPU,GPU
4,101000110111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.10,DEP_AMP_PHASE_GPU,GPU
5,110111110011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.12,DEP_AMP_PHASE_GPU,GPU
6,000111001100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.15,DEP_AMP_PHASE_GPU,GPU
7,111011100010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.17,DEP_AMP_PHASE_GPU,GPU
8,101010101111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.20,DEP_AMP_PHASE_GPU,GPU
9,100011010111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.22,DEP_AMP_PHASE_GPU,GPU
10,010011110010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.25,DEP_AMP_PHASE_GPU,GPU
11,111101110101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.27,DEP_AMP_PHASE_GPU,GPU
12,000011011110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.29,DEP_AMP_PHASE_GPU,GPU
13,011101010011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.32,DEP_AMP_PHASE_GPU,GPU
14,101100000111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.34,DEP_AMP_PHASE_GPU,GPU
15,101001110000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.37,DEP_AMP_PHASE_GPU,GPU
16,110101100010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.39,DEP_AMP_PHASE_GPU,GPU
17,011100010110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.42,DEP_AMP_PHASE_GPU,GPU
