Attempt,Bitstring,Circuit Depth,Gate Count,Success,Time (s),Noise Label,Backend
1,110100100101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.02,DEP_CPU,CPU
2,111010010101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.04,DEP_CPU,CPU
3,101010100111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.06,DEP_CPU,CPU
4,110001010001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.08,DEP_CPU,CPU
5,101000001110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.10,DEP_CPU,CPU
6,011011100011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.12,DEP_CPU,CPU
7,000100010001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.14,DEP_CPU,CPU
8,101110111001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.16,DEP_CPU,CPU
9,101011110111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.19,DEP_CPU,CPU
10,000000110001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.21,DEP_CPU,CPU
11,011100010100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.23,DEP_CPU,CPU
12,101101011000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.25,DEP_CPU,CPU
13,010011011111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.27,DEP_CPU,CPU
14,001111111111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.29,DEP_CPU,CPU
15,011000010000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.31,DEP_CPU,CPU
16,010011001110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.33,DEP_CPU,CPU
17,011111111000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.35,DEP_CPU,CPU
18,110010010001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.37,DEP_CPU,CPU
19,010011011010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.39,DEP_CPU,CPU
20,111101110100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.41,DEP_CPU,CPU
21,010111011101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.43,DEP_CPU,CPU
22,011111101110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.45,DEP_CPU,CPU
23,101101000010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.47,DEP_CPU,CPU
24,101001001001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.49,DEP_CPU,CPU
25,000010001011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.52,DEP_CPU,CPU
26,011010101000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.54,DEP_CPU,CPU
27,001001001111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.56,DEP_CPU,CPU
28,111001101110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.58,DEP_CPU,CPU
