Attempt,Bitstring,Circuit Depth,Gate Count,Success,Time (s),Noise Label,Backend
1,011101110011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.05,DEP_GPU,GPU
2,110010001001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.07,DEP_GPU,GPU
3,010101011011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.09,DEP_GPU,GPU
4,001101101111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.12,DEP_GPU,GPU
5,000000100010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.14,DEP_GPU,GPU
6,100001100100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.16,DEP_GPU,GPU
7,010101100111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.18,DEP_GPU,GPU
8,100001111010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.20,DEP_GPU,GPU
9,100111101010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.22,DEP_GPU,GPU
10,101011101101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.24,DEP_GPU,GPU
11,110010101001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.26,DEP_GPU,GPU
12,010100111000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.28,DEP_GPU,GPU
13,001010111000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.30,DEP_GPU,GPU
14,110111011110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.32,DEP_GPU,GPU
15,010101101000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.39,DEP_GPU,GPU
16,011100111011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.41,DEP_GPU,GPU
17,001010000001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.43,DEP_GPU,GPU
18,101010110110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.45,DEP_GPU,GPU
19,101011010110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.47,DEP_GPU,GPU
20,011001010101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.49,DEP_GPU,GPU
21,001110011010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.51,DEP_GPU,GPU
22,110100011000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.53,DEP_GPU,GPU
23,111011000100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.55,DEP_GPU,GPU
24,011110011101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.57,DEP_GPU,GPU
25,000010001010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.59,DEP_GPU,GPU
26,101101101001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.61,DEP_GPU,GPU
27,110101100001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.64,DEP_GPU,GPU
28,111110110000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.66,DEP_GPU,GPU
29,111101111100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.68,DEP_GPU,GPU
30,111101110010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.70,DEP_GPU,GPU
31,101010101010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.72,DEP_GPU,GPU
32,011111001010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.74,DEP_GPU,GPU
33,100000101011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.76,DEP_GPU,GPU
34,100101110000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.78,DEP_GPU,GPU
35,101011100000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.80,DEP_GPU,GPU
36,100000110101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.82,DEP_GPU,GPU
37,001111000100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.84,DEP_GPU,GPU
38,101001000110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.86,DEP_GPU,GPU
39,100011011010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.88,DEP_GPU,GPU
40,000100101011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.91,DEP_GPU,GPU
41,011010100000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.93,DEP_GPU,GPU
42,010001100011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.95,DEP_GPU,GPU
43,011000010010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.97,DEP_GPU,GPU
44,101110101111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.00,DEP_GPU,GPU
45,011011001010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.02,DEP_GPU,GPU
