Attempt,Bitstring,Circuit Depth,Gate Count,Success,Time (s),Noise Label
1,010011110011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.02,DEP_PHASE
2,100111010110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.05,DEP_PHASE
3,101110010101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.07,DEP_PHASE
4,111001011001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.09,DEP_PHASE
5,111110010011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.11,DEP_PHASE
6,011010001011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.14,DEP_PHASE
7,101010010100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.16,DEP_PHASE
8,011101011001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.18,DEP_PHASE
9,011000001111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.20,DEP_PHASE
10,010100000111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.23,DEP_PHASE
11,111001110110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.25,DEP_PHASE
12,101010000110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.27,DEP_PHASE
13,010111011100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.30,DEP_PHASE
14,011001010111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.32,DEP_PHASE
15,010011000011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.34,DEP_PHASE
16,101100100110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.37,DEP_PHASE
17,000100010111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.39,DEP_PHASE
18,011010101101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.41,DEP_PHASE
19,001011011111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.43,DEP_PHASE
20,001011011100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.46,DEP_PHASE
21,011000000100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.48,DEP_PHASE
22,100000110001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.55,DEP_PHASE
23,011100011011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.57,DEP_PHASE
24,100111011011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.59,DEP_PHASE
25,010111011010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.61,DEP_PHASE
