Attempt,Bitstring,Circuit Depth,Gate Count,Success,Time (s),Noise Label,Backend
1,011001010100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.02,DEP_PHASE_CPU,CPU
2,111000000001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.05,DEP_PHASE_CPU,CPU
3,010011101001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.07,DEP_PHASE_CPU,CPU
4,011110000101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.09,DEP_PHASE_CPU,CPU
5,101011011110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.12,DEP_PHASE_CPU,CPU
6,110101111100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.14,DEP_PHASE_CPU,CPU
7,000001001010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.16,DEP_PHASE_CPU,CPU
8,000111100000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.19,DEP_PHASE_CPU,CPU
9,011110011110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.21,DEP_PHASE_CPU,CPU
10,100001000001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.23,DEP_PHASE_CPU,CPU
11,000111011111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.26,DEP_PHASE_CPU,CPU
12,101100001000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.28,DEP_PHASE_CPU,CPU
13,001011110011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.31,DEP_PHASE_CPU,CPU
14,110000111010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.33,DEP_PHASE_CPU,CPU
15,001010010110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.36,DEP_PHASE_CPU,CPU
16,001010101011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.38,DEP_PHASE_CPU,CPU
17,101111111000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.41,DEP_PHASE_CPU,CPU
18,000010011010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.43,DEP_PHASE_CPU,CPU
19,001100100000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.46,DEP_PHASE_CPU,CPU
20,010110111111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.48,DEP_PHASE_CPU,CPU
21,011111110100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.51,DEP_PHASE_CPU,CPU
22,100110000100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.53,DEP_PHASE_CPU,CPU
23,001000010100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.56,DEP_PHASE_CPU,CPU
24,101111100111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.58,DEP_PHASE_CPU,CPU
25,011100101110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.61,DEP_PHASE_CPU,CPU
26,010101011011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.63,DEP_PHASE_CPU,CPU
27,001001100101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",True,0.65,DEP_PHASE_CPU,CPU
