Attempt,Bitstring,Circuit Depth,Gate Count,Success,Time (s),Noise Label,Backend
1,001100010010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.03,DEP_PHASE_GPU,GPU
2,011101111000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.05,DEP_PHASE_GPU,GPU
3,100001000110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.08,DEP_PHASE_GPU,GPU
4,010110001011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.10,DEP_PHASE_GPU,GPU
5,000101100111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.12,DEP_PHASE_GPU,GPU
6,101110110010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.15,DEP_PHASE_GPU,GPU
7,011100001001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.17,DEP_PHASE_GPU,GPU
8,000011010110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.19,DEP_PHASE_GPU,GPU
9,110001001011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.22,DEP_PHASE_GPU,GPU
10,001001110011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.24,DEP_PHASE_GPU,GPU
11,001101101011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.26,DEP_PHASE_GPU,GPU
12,001001011100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.29,DEP_PHASE_GPU,GPU
13,110001111001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.31,DEP_PHASE_GPU,GPU
14,110101010011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.33,DEP_PHASE_GPU,GPU
15,100001111100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.36,DEP_PHASE_GPU,GPU
16,110101011000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.38,DEP_PHASE_GPU,GPU
17,101101001111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.40,DEP_PHASE_GPU,GPU
18,000011110110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.43,DEP_PHASE_GPU,GPU
19,011111011001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.45,DEP_PHASE_GPU,GPU
20,010100000011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.47,DEP_PHASE_GPU,GPU
21,001110011001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.50,DEP_PHASE_GPU,GPU
22,110011101111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.52,DEP_PHASE_GPU,GPU
23,000010010100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.54,DEP_PHASE_GPU,GPU
24,011000011111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.57,DEP_PHASE_GPU,GPU
25,001111001001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.59,DEP_PHASE_GPU,GPU
26,101001110010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.61,DEP_PHASE_GPU,GPU
27,000000011111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.64,DEP_PHASE_GPU,GPU
28,001100110101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.66,DEP_PHASE_GPU,GPU
29,001000111110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.72,DEP_PHASE_GPU,GPU
30,001101010000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.75,DEP_PHASE_GPU,GPU
31,110000110011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.77,DEP_PHASE_GPU,GPU
32,000101011010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.80,DEP_PHASE_GPU,GPU
33,101010011100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.82,DEP_PHASE_GPU,GPU
34,011100010001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.84,DEP_PHASE_GPU,GPU
35,100010001111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.87,DEP_PHASE_GPU,GPU
36,110010000001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.89,DEP_PHASE_GPU,GPU
37,111110111101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.91,DEP_PHASE_GPU,GPU
38,111001010000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.94,DEP_PHASE_GPU,GPU
39,101000011011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.03,DEP_PHASE_GPU,GPU
40,000000010100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.05,DEP_PHASE_GPU,GPU
41,101110001101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.08,DEP_PHASE_GPU,GPU
42,111010000100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.10,DEP_PHASE_GPU,GPU
43,011101110011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.12,DEP_PHASE_GPU,GPU
44,000011111100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.15,DEP_PHASE_GPU,GPU
45,111111011010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.17,DEP_PHASE_GPU,GPU
46,100111111010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.19,DEP_PHASE_GPU,GPU
47,101111110001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.22,DEP_PHASE_GPU,GPU
48,010110110001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.24,DEP_PHASE_GPU,GPU
49,110010111101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.26,DEP_PHASE_GPU,GPU
50,010011001011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.29,DEP_PHASE_GPU,GPU
51,101110100011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.31,DEP_PHASE_GPU,GPU
52,111011110011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.33,DEP_PHASE_GPU,GPU
53,000011100000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.36,DEP_PHASE_GPU,GPU
54,000011101010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.38,DEP_PHASE_GPU,GPU
55,001111001001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.40,DEP_PHASE_GPU,GPU
56,101101100001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.43,DEP_PHASE_GPU,GPU
57,110000101011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.45,DEP_PHASE_GPU,GPU
58,100110011010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.47,DEP_PHASE_GPU,GPU
59,000110011011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.50,DEP_PHASE_GPU,GPU
60,111000111100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.52,DEP_PHASE_GPU,GPU
61,101001100101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",True,1.54,DEP_PHASE_GPU,GPU
