Attempt,Bitstring,Circuit Depth,Gate Count,Success,Time (s),Noise Label
1,1011011110011101,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.03,NONE
2,0000000110101001,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.05,NONE
3,1111001010001100,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.07,NONE
4,0001100101001011,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.09,NONE
5,0000010000000000,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.11,NONE
6,1000111000100001,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.16,NONE
7,0101110100111101,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.18,NONE
8,1110100011101010,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.20,NONE
9,0101100011110011,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.22,NONE
10,0010101011000001,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.24,NONE
11,0001001011010010,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.26,NONE
12,1001100000100110,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.29,NONE
13,1000011011001100,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.31,NONE
14,0100100000000101,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.33,NONE
15,1101000010111010,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.35,NONE
16,1001010010100011,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.37,NONE
17,0101111101010100,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.39,NONE
18,1100011100001111,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.41,NONE
19,0000100100010111,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.44,NONE
20,1100000100110100,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.46,NONE
21,1000010100111101,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.48,NONE
22,1010011100110100,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.50,NONE
23,1001010101110011,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.52,NONE
24,0000110000001111,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.54,NONE
25,1011111110011110,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.56,NONE
26,1111101110011000,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.58,NONE
27,1101011110100110,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.60,NONE
28,1010101011000010,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.62,NONE
29,0101010000011011,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.64,NONE
30,0010100101010000,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.66,NONE
31,1011011111011000,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.68,NONE
32,1101000010110010,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.70,NONE
33,0100000100010111,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.72,NONE
34,0010011011110000,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.74,NONE
35,1100110010101101,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.76,NONE
36,1111101110110100,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.78,NONE
37,0100101000001110,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.80,NONE
38,1110101011110101,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.82,NONE
39,0001100011111001,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.84,NONE
40,1010101000110011,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.86,NONE
41,1000000000101011,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.88,NONE
42,0111011001011010,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.90,NONE
43,0011010000100101,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.92,NONE
44,0100101011001010,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.94,NONE
45,1001011001110011,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.96,NONE
46,0100010010000101,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,0.98,NONE
47,1001110110011011,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.00,NONE
48,0000111111101100,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.01,NONE
49,1000101010110001,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.03,NONE
50,1011000011001010,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.05,NONE
51,0001110011100111,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.07,NONE
52,0110100010001100,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.09,NONE
53,1111101101101101,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.11,NONE
54,0100011110010101,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.13,NONE
55,1001011010010111,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.15,NONE
56,1011001011000010,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.17,NONE
57,0100100011101000,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.19,NONE
58,1010011101110010,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.21,NONE
59,0011110000111010,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.23,NONE
60,1100011111011111,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.25,NONE
61,1000000111010110,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.28,NONE
62,1110101001100010,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.30,NONE
63,0001101000111000,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.32,NONE
64,1110011110101001,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.33,NONE
65,1001010001110010,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.36,NONE
66,0111010100110110,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.38,NONE
67,1110000111010000,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.40,NONE
68,0100010010001100,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.42,NONE
69,0111110011101000,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.44,NONE
70,1111000100010001,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.46,NONE
71,1011000001101100,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.48,NONE
72,1101000001011000,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.50,NONE
73,0100111101001011,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.52,NONE
74,0100100010101100,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.53,NONE
75,1011101000001001,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.55,NONE
76,0111011101101100,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.57,NONE
77,0101111011101110,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.59,NONE
78,0110100001110000,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.61,NONE
79,1001010011110010,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.63,NONE
80,0010111110111101,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.65,NONE
81,0100000111110011,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.67,NONE
82,0100001100010000,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.69,NONE
83,1011010001001101,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.71,NONE
84,0100011010101010,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.73,NONE
85,1010100111100010,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.75,NONE
86,0110110000111000,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.77,NONE
87,0011111000000101,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.79,NONE
88,1000011110100001,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.81,NONE
89,0010100110101010,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.83,NONE
90,1000001000000000,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.85,NONE
91,0000101011111101,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.87,NONE
92,1011101001000011,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.89,NONE
93,0011111101101101,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.91,NONE
94,0001010000001101,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.93,NONE
95,0111100110000000,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.95,NONE
96,0011111101000101,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.97,NONE
97,0010111001011000,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,1.99,NONE
98,1011110010011010,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,2.01,NONE
99,1011000010001100,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,2.03,NONE
100,0000000110100010,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,2.05,NONE
101,0010101100111101,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,2.09,NONE
102,0101010001111010,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,2.11,NONE
103,0100110010100101,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,2.13,NONE
104,0010011011111100,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,2.15,NONE
105,0111000010000111,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,2.17,NONE
106,1001111111010010,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,2.19,NONE
107,0001110101001100,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,2.21,NONE
108,1000011110001101,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,2.23,NONE
109,0001010101100010,80,"{'rz': 32, 'sx': 18, 'barrier': 16, 'measure': 16, 'reset': 16}",False,2.25,NONE
