Attempt,Bitstring,Circuit Depth,Gate Count,Success,Time (s),Noise Label,Backend
1,010010101010,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.02,NONE_CPU,CPU
2,010011010010,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.04,NONE_CPU,CPU
3,001111110100,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.06,NONE_CPU,CPU
4,111000010110,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.08,NONE_CPU,CPU
5,001100111111,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.11,NONE_CPU,CPU
6,101010101000,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.13,NONE_CPU,CPU
7,111110011100,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.15,NONE_CPU,CPU
8,010011001011,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.17,NONE_CPU,CPU
9,101101111000,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.19,NONE_CPU,CPU
10,010010101110,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.21,NONE_CPU,CPU
11,101010100010,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.23,NONE_CPU,CPU
12,100100010101,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.25,NONE_CPU,CPU
13,100001000011,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.27,NONE_CPU,CPU
14,110110111111,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.29,NONE_CPU,CPU
15,100010011011,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.31,NONE_CPU,CPU
16,111110101000,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.33,NONE_CPU,CPU
17,001011100000,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.35,NONE_CPU,CPU
