Attempt,Bitstring,Circuit Depth,Gate Count,Success,Time (s),Noise Label,Backend
1,000011011001,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.18,NONE_GPU,GPU
2,000100111010,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.20,NONE_GPU,GPU
3,111010010011,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.22,NONE_GPU,GPU
4,011111001101,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.24,NONE_GPU,GPU
5,010100111010,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.26,NONE_GPU,GPU
6,111110010000,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.30,NONE_GPU,GPU
7,010011010010,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.32,NONE_GPU,GPU
8,011100000010,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.34,NONE_GPU,GPU
9,011100001111,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.36,NONE_GPU,GPU
10,000011101001,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.38,NONE_GPU,GPU
11,110111100000,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.40,NONE_GPU,GPU
12,111100101101,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.42,NONE_GPU,GPU
13,111100010110,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.44,NONE_GPU,GPU
14,000010011110,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.46,NONE_GPU,GPU
15,011100111110,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.48,NONE_GPU,GPU
16,001111011000,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.50,NONE_GPU,GPU
17,110111111000,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.52,NONE_GPU,GPU
18,010101011111,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.54,NONE_GPU,GPU
19,111110000001,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.56,NONE_GPU,GPU
20,011011000101,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.58,NONE_GPU,GPU
21,101101010110,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.60,NONE_GPU,GPU
22,111000101100,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.62,NONE_GPU,GPU
23,011001100111,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.64,NONE_GPU,GPU
24,000011001001,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.66,NONE_GPU,GPU
25,000111000100,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.68,NONE_GPU,GPU
26,001001100001,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.70,NONE_GPU,GPU
27,101001100000,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.72,NONE_GPU,GPU
28,001011000110,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.74,NONE_GPU,GPU
29,011010111110,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.76,NONE_GPU,GPU
30,001100111100,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.78,NONE_GPU,GPU
31,011000000010,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.80,NONE_GPU,GPU
32,101011100011,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.82,NONE_GPU,GPU
33,011100101110,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.84,NONE_GPU,GPU
34,100010010000,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.86,NONE_GPU,GPU
35,101010110101,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.88,NONE_GPU,GPU
36,001010101010,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.90,NONE_GPU,GPU
37,011010111100,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.92,NONE_GPU,GPU
38,000111001011,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.93,NONE_GPU,GPU
39,100110000111,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.95,NONE_GPU,GPU
40,010100101100,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.97,NONE_GPU,GPU
41,011010110011,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.05,NONE_GPU,GPU
42,110100111110,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.08,NONE_GPU,GPU
43,011000010101,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.09,NONE_GPU,GPU
44,100110110001,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.11,NONE_GPU,GPU
45,011000001000,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.13,NONE_GPU,GPU
46,001010000100,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.15,NONE_GPU,GPU
47,010011001100,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.17,NONE_GPU,GPU
48,001110010011,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.19,NONE_GPU,GPU
49,110001100010,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.21,NONE_GPU,GPU
50,101100110101,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.23,NONE_GPU,GPU
51,011110111010,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.25,NONE_GPU,GPU
52,001001110010,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.27,NONE_GPU,GPU
53,010010111000,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.28,NONE_GPU,GPU
54,110100001010,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.30,NONE_GPU,GPU
55,000110000100,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.32,NONE_GPU,GPU
56,011000001100,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.34,NONE_GPU,GPU
57,001010001010,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.36,NONE_GPU,GPU
58,010111001100,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.38,NONE_GPU,GPU
59,110110110110,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.40,NONE_GPU,GPU
60,110001010101,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.42,NONE_GPU,GPU
61,010110110111,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.43,NONE_GPU,GPU
62,011101001001,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.45,NONE_GPU,GPU
63,101010100001,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.47,NONE_GPU,GPU
64,101111101100,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.49,NONE_GPU,GPU
65,010010010110,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.51,NONE_GPU,GPU
66,010010111010,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.53,NONE_GPU,GPU
67,011000001100,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.55,NONE_GPU,GPU
68,011110000110,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.57,NONE_GPU,GPU
69,101010011100,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.59,NONE_GPU,GPU
70,010010110100,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.60,NONE_GPU,GPU
71,010000110110,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.62,NONE_GPU,GPU
72,111101101111,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.64,NONE_GPU,GPU
73,011010111011,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.66,NONE_GPU,GPU
74,010100100101,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.68,NONE_GPU,GPU
75,100100100111,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.70,NONE_GPU,GPU
76,001010100001,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.72,NONE_GPU,GPU
77,101111110111,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.74,NONE_GPU,GPU
78,000110110000,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.76,NONE_GPU,GPU
79,000101111101,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.77,NONE_GPU,GPU
80,000110001101,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.79,NONE_GPU,GPU
81,011000000100,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.81,NONE_GPU,GPU
82,101011001010,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.83,NONE_GPU,GPU
83,111001100101,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.85,NONE_GPU,GPU
84,101110101101,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.87,NONE_GPU,GPU
85,101101100000,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.89,NONE_GPU,GPU
86,100110101101,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.91,NONE_GPU,GPU
87,111110100100,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.93,NONE_GPU,GPU
88,001101011110,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.94,NONE_GPU,GPU
89,001011010100,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.96,NONE_GPU,GPU
90,111110111101,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.98,NONE_GPU,GPU
91,001001111011,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,2.00,NONE_GPU,GPU
92,100110010000,60,"{'rz': 24, 'sx': 14, 'barrier': 12, 'measure': 12, 'reset': 12}",False,2.02,NONE_GPU,GPU
