Attempt,Bitstring,Circuit Depth,Gate Count,Success,Time (s),Noise Label
1,111001000010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.12,_AMP
2,111000010000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.14,_AMP
3,010110100010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.16,_AMP
4,011100110000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.18,_AMP
5,010001101100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.20,_AMP
6,011101001111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.21,_AMP
7,000011100101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.23,_AMP
8,101011100100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.25,_AMP
9,001010001111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.27,_AMP
10,111110010010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.29,_AMP
11,011011010001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.31,_AMP
12,100000110110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.33,_AMP
13,111111110101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.35,_AMP
14,011001001000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.37,_AMP
15,000101010110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.39,_AMP
16,111101010111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.44,_AMP
17,011000000101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.46,_AMP
18,110010010110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.48,_AMP
19,101101010010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.50,_AMP
20,110000110010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.52,_AMP
21,000111001101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.54,_AMP
22,010101101011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.55,_AMP
23,111010001001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.57,_AMP
24,111111111100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.59,_AMP
25,111011110000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.61,_AMP
26,010100001001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.63,_AMP
27,101010001011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.65,_AMP
28,000111100010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.67,_AMP
29,011111001100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.69,_AMP
30,010011000111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.71,_AMP
31,001011100101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.72,_AMP
32,000011010111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.74,_AMP
33,001011001110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.76,_AMP
34,000000111010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.78,_AMP
35,100010100110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.80,_AMP
36,001111110011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.82,_AMP
37,100000010010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.84,_AMP
38,001111001100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.86,_AMP
39,010111111011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.88,_AMP
40,101011101110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.90,_AMP
41,101001111011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.92,_AMP
42,010111111100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.93,_AMP
43,110111110011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.95,_AMP
44,001111110101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.97,_AMP
45,011111000000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.99,_AMP
46,100010001000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.01,_AMP
47,001111011111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.03,_AMP
48,111101111000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.05,_AMP
49,010111011110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.07,_AMP
50,011011100001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.09,_AMP
51,000110001000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.11,_AMP
52,100011001011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",True,1.13,_AMP
