Attempt,Bitstring,Circuit Depth,Gate Count,Success,Time (s),Noise Label,Backend
1,111110000100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.02,_AMP_CPU,CPU
2,010100100101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.04,_AMP_CPU,CPU
3,011001010101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.06,_AMP_CPU,CPU
4,100101011000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.08,_AMP_CPU,CPU
5,110011011111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.10,_AMP_CPU,CPU
6,011011001100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.17,_AMP_CPU,CPU
7,000011111000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.19,_AMP_CPU,CPU
8,110101100101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.21,_AMP_CPU,CPU
9,001001000010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.22,_AMP_CPU,CPU
10,111000101110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.24,_AMP_CPU,CPU
11,110010000010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.26,_AMP_CPU,CPU
12,001000010100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.28,_AMP_CPU,CPU
13,101010101001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.30,_AMP_CPU,CPU
14,101000010100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.32,_AMP_CPU,CPU
15,101100010000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.34,_AMP_CPU,CPU
16,100101011101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.36,_AMP_CPU,CPU
17,011101111001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.38,_AMP_CPU,CPU
18,001001100011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.40,_AMP_CPU,CPU
19,110101100100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.41,_AMP_CPU,CPU
20,001100001001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.43,_AMP_CPU,CPU
21,110000011101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.45,_AMP_CPU,CPU
