Attempt,Bitstring,Circuit Depth,Gate Count,Success,Time (s),Noise Label,Backend
1,011000000101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.16,_AMP_GPU,GPU
2,111001000101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.19,_AMP_GPU,GPU
3,101000010010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.21,_AMP_GPU,GPU
4,101010011110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.23,_AMP_GPU,GPU
5,010101100011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.25,_AMP_GPU,GPU
6,011011011101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.27,_AMP_GPU,GPU
7,011101011101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.29,_AMP_GPU,GPU
8,101111101111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.31,_AMP_GPU,GPU
9,000000000111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.33,_AMP_GPU,GPU
10,100000100101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.35,_AMP_GPU,GPU
11,001001001000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.37,_AMP_GPU,GPU
12,111001011101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.39,_AMP_GPU,GPU
13,001001001100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.41,_AMP_GPU,GPU
14,100011000111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.43,_AMP_GPU,GPU
15,101000001011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.45,_AMP_GPU,GPU
16,111101010110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.47,_AMP_GPU,GPU
17,100110110110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.49,_AMP_GPU,GPU
18,110010010110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.51,_AMP_GPU,GPU
19,101001100101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",True,0.53,_AMP_GPU,GPU
