Attempt,Bitstring,Circuit Depth,Gate Count,Success,Time (s),Noise Label
1,100000100010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.02,_AMP_PHASE
2,000100000100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.04,_AMP_PHASE
3,101000110011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.06,_AMP_PHASE
4,110111110100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.08,_AMP_PHASE
5,101110110110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.14,_AMP_PHASE
6,101100001101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.16,_AMP_PHASE
7,100001001010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.19,_AMP_PHASE
8,100011110100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.20,_AMP_PHASE
9,101001010010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.22,_AMP_PHASE
10,011001010000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.24,_AMP_PHASE
11,101010010000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.26,_AMP_PHASE
12,010010100010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.29,_AMP_PHASE
13,101111011010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.30,_AMP_PHASE
14,001111100100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.32,_AMP_PHASE
15,001100010001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.34,_AMP_PHASE
16,101110110001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.36,_AMP_PHASE
17,010111101001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.38,_AMP_PHASE
18,111011001101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.40,_AMP_PHASE
19,011001111000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.42,_AMP_PHASE
20,001000110011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.44,_AMP_PHASE
21,100000001111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.46,_AMP_PHASE
22,101000001001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.48,_AMP_PHASE
23,011101011011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.50,_AMP_PHASE
24,111000011011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.52,_AMP_PHASE
25,010101010101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.54,_AMP_PHASE
26,000001010110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.56,_AMP_PHASE
27,010000011001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.58,_AMP_PHASE
28,000111111100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.60,_AMP_PHASE
29,110110010110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.62,_AMP_PHASE
30,010101110001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.64,_AMP_PHASE
31,101101100100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.65,_AMP_PHASE
32,011110110010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.67,_AMP_PHASE
33,010010001010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.69,_AMP_PHASE
34,101101111101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.71,_AMP_PHASE
35,111000000011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.73,_AMP_PHASE
36,111101101101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.75,_AMP_PHASE
37,101000001101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.77,_AMP_PHASE
38,000111100011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.79,_AMP_PHASE
39,101010011010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.81,_AMP_PHASE
40,111101000000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.83,_AMP_PHASE
41,110010010110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.85,_AMP_PHASE
42,010011010101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.87,_AMP_PHASE
43,001110011010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.89,_AMP_PHASE
44,110001110000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.91,_AMP_PHASE
45,110110100010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.93,_AMP_PHASE
46,110111110110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.95,_AMP_PHASE
