Attempt,Bitstring,Circuit Depth,Gate Count,Success,Time (s),Noise Label,Backend
1,101000011011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.02,_AMP_PHASE_CPU,CPU
2,010001110001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.04,_AMP_PHASE_CPU,CPU
3,010011111101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.06,_AMP_PHASE_CPU,CPU
4,110001111110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.08,_AMP_PHASE_CPU,CPU
5,110001000010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.10,_AMP_PHASE_CPU,CPU
6,100111000010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.17,_AMP_PHASE_CPU,CPU
7,100110001010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.19,_AMP_PHASE_CPU,CPU
8,010111011100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.21,_AMP_PHASE_CPU,CPU
9,011000100011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.23,_AMP_PHASE_CPU,CPU
10,110100110010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.25,_AMP_PHASE_CPU,CPU
11,100000110110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.27,_AMP_PHASE_CPU,CPU
12,000011000001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.29,_AMP_PHASE_CPU,CPU
13,011011110000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.31,_AMP_PHASE_CPU,CPU
14,000110100100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.33,_AMP_PHASE_CPU,CPU
15,110111000111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.35,_AMP_PHASE_CPU,CPU
16,000100000000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.37,_AMP_PHASE_CPU,CPU
17,100101111111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.39,_AMP_PHASE_CPU,CPU
18,101110100011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.41,_AMP_PHASE_CPU,CPU
19,100111001010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.43,_AMP_PHASE_CPU,CPU
20,111000101110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.45,_AMP_PHASE_CPU,CPU
21,111000010111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.47,_AMP_PHASE_CPU,CPU
22,110101000010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.49,_AMP_PHASE_CPU,CPU
23,101111001100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.51,_AMP_PHASE_CPU,CPU
24,100010000001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.52,_AMP_PHASE_CPU,CPU
25,010011010100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.54,_AMP_PHASE_CPU,CPU
26,101011010001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.56,_AMP_PHASE_CPU,CPU
27,001001010111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.58,_AMP_PHASE_CPU,CPU
28,101100101010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.60,_AMP_PHASE_CPU,CPU
29,000101101000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.62,_AMP_PHASE_CPU,CPU
30,001010101011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.64,_AMP_PHASE_CPU,CPU
31,111100000011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.66,_AMP_PHASE_CPU,CPU
32,111110101001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.68,_AMP_PHASE_CPU,CPU
33,100011111010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.70,_AMP_PHASE_CPU,CPU
