Attempt,Bitstring,Circuit Depth,Gate Count,Success,Time (s),Noise Label
1,100111011000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.02,_PHASE
2,010110000011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.04,_PHASE
3,011000000010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.06,_PHASE
4,011111101101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.08,_PHASE
5,010110110101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.10,_PHASE
6,101010110111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.13,_PHASE
7,111110110001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.15,_PHASE
8,100110111111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.17,_PHASE
9,110001110100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.19,_PHASE
10,010110110100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.21,_PHASE
11,011000110001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.23,_PHASE
12,000011111010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.25,_PHASE
13,110111000110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.27,_PHASE
14,000101101001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.29,_PHASE
15,011111111010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.31,_PHASE
16,000110000111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.33,_PHASE
17,111111001100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.35,_PHASE
18,010010011111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.37,_PHASE
19,011001011101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.39,_PHASE
20,000000111010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.41,_PHASE
21,010000001001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.43,_PHASE
22,000000111110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.45,_PHASE
23,001000011100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.46,_PHASE
24,010010000001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.48,_PHASE
25,100110101100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.50,_PHASE
26,111011101111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.52,_PHASE
27,100010010001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.54,_PHASE
28,110110000100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.56,_PHASE
29,001000010111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.58,_PHASE
30,001000101110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.60,_PHASE
31,010110100001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.62,_PHASE
32,011011001110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.63,_PHASE
33,001101010001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.65,_PHASE
34,000101001011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.67,_PHASE
35,100111110101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.69,_PHASE
36,111000000110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.71,_PHASE
37,100001000011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.73,_PHASE
38,110111111100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.75,_PHASE
39,011010110100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.77,_PHASE
40,011100100010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.79,_PHASE
41,011001000011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.81,_PHASE
42,010001100001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.82,_PHASE
43,010011101101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.84,_PHASE
44,000111001111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.86,_PHASE
45,001101001010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.88,_PHASE
46,110010100101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.90,_PHASE
47,011011000001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.92,_PHASE
48,100000000111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.94,_PHASE
49,110100011010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.00,_PHASE
50,000111011100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.02,_PHASE
51,011010100000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.04,_PHASE
52,110110010010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.06,_PHASE
53,011111001110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.08,_PHASE
54,000101001100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.09,_PHASE
55,101110111011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.11,_PHASE
56,011101010111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.13,_PHASE
57,010110110100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.15,_PHASE
58,111111111001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.17,_PHASE
59,101111101010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.19,_PHASE
60,101010111101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.21,_PHASE
61,001010001110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.23,_PHASE
62,011101111100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.25,_PHASE
63,011100100001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.27,_PHASE
64,000011010110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.29,_PHASE
65,111101111001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.30,_PHASE
66,101000111111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.32,_PHASE
67,110011001110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.34,_PHASE
68,100011110010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.36,_PHASE
69,011010111110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.38,_PHASE
70,001000011010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.40,_PHASE
71,001011011010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.42,_PHASE
72,111100111010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.44,_PHASE
73,011110000010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.46,_PHASE
74,001011000100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.48,_PHASE
75,101000010001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.50,_PHASE
76,101101111100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.52,_PHASE
77,011110000110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.54,_PHASE
78,011101100101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.55,_PHASE
79,010011100100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.57,_PHASE
80,100011010000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.59,_PHASE
81,010011100000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.61,_PHASE
82,000001001101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.63,_PHASE
83,110111001011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.65,_PHASE
84,111100111101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.67,_PHASE
85,001000001110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.69,_PHASE
86,101011111100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.71,_PHASE
87,101010100001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,1.73,_PHASE
