Attempt,Bitstring,Circuit Depth,Gate Count,Success,Time (s),Noise Label,Backend
1,000010111000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.02,_PHASE_CPU,CPU
2,101101100010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.04,_PHASE_CPU,CPU
3,001100001011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.06,_PHASE_CPU,CPU
4,000100001000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.08,_PHASE_CPU,CPU
5,111000010101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.14,_PHASE_CPU,CPU
6,010111100111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.16,_PHASE_CPU,CPU
7,100101111001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.18,_PHASE_CPU,CPU
8,110101011101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.20,_PHASE_CPU,CPU
9,101010110011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.22,_PHASE_CPU,CPU
10,100110010111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.24,_PHASE_CPU,CPU
11,100001010010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.26,_PHASE_CPU,CPU
12,100110110010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.28,_PHASE_CPU,CPU
13,111011110011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.30,_PHASE_CPU,CPU
14,001000101011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.32,_PHASE_CPU,CPU
15,100110110110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.34,_PHASE_CPU,CPU
16,001111110000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.35,_PHASE_CPU,CPU
17,101010100111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.37,_PHASE_CPU,CPU
18,101000101000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.39,_PHASE_CPU,CPU
19,011101101001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.41,_PHASE_CPU,CPU
20,100011110010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.43,_PHASE_CPU,CPU
21,001001011010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.45,_PHASE_CPU,CPU
22,100000010100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.47,_PHASE_CPU,CPU
23,010010010000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.49,_PHASE_CPU,CPU
