Attempt,Bitstring,Circuit Depth,Gate Count,Success,Time (s),Noise Label,Backend
1,010111001000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.02,_PHASE_GPU,GPU
2,100101001100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.05,_PHASE_GPU,GPU
3,110110111000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.07,_PHASE_GPU,GPU
4,111110100100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.09,_PHASE_GPU,GPU
5,000110111110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.11,_PHASE_GPU,GPU
6,100100101010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.13,_PHASE_GPU,GPU
7,110000010111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.15,_PHASE_GPU,GPU
8,000011100011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.17,_PHASE_GPU,GPU
9,000111000101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.20,_PHASE_GPU,GPU
10,100101011110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.22,_PHASE_GPU,GPU
11,000110111100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.24,_PHASE_GPU,GPU
12,110010010101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.26,_PHASE_GPU,GPU
13,001101111010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.28,_PHASE_GPU,GPU
14,100111100100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.30,_PHASE_GPU,GPU
15,110010101101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.33,_PHASE_GPU,GPU
16,100110100010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.35,_PHASE_GPU,GPU
17,011011100101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.37,_PHASE_GPU,GPU
18,101001100001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.39,_PHASE_GPU,GPU
19,010011010011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.41,_PHASE_GPU,GPU
20,010010100110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.43,_PHASE_GPU,GPU
21,100000111101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.45,_PHASE_GPU,GPU
22,000000010001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.47,_PHASE_GPU,GPU
23,010111000101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.49,_PHASE_GPU,GPU
24,000000100111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.51,_PHASE_GPU,GPU
25,110101100001,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.53,_PHASE_GPU,GPU
26,100100011010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.55,_PHASE_GPU,GPU
27,100001001000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.57,_PHASE_GPU,GPU
28,000001110101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.59,_PHASE_GPU,GPU
29,010110000100,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.61,_PHASE_GPU,GPU
30,011100101000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.63,_PHASE_GPU,GPU
31,100111000101,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.65,_PHASE_GPU,GPU
32,000011100010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.67,_PHASE_GPU,GPU
33,110001100011,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.69,_PHASE_GPU,GPU
34,111101010111,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.71,_PHASE_GPU,GPU
35,001101010000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.77,_PHASE_GPU,GPU
36,111110101000,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.79,_PHASE_GPU,GPU
37,100100111110,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.81,_PHASE_GPU,GPU
38,110110100010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.83,_PHASE_GPU,GPU
39,100111110010,36,"{'u3': 13, 'barrier': 12, 'measure': 12, 'reset': 12}",False,0.85,_PHASE_GPU,GPU
